Timestamp,Recovery_ms
1742372589855,17
1742372592217,15
1742372595644,62
1742372600459,70
1742372607671,16
1742372610032,15
1742372613052,58
1742372615509,58
1742372621244,69
1742372623597,55
1742372626057,61
1742372635623,21
1742372638037,66
1742372640195,16
1742372642556,17
1742372646220,96
1742372650946,54
1742372653395,50
1742372655806,15
1742372658213,61
1742372660630,20
1742372663025,98
1742372669014,18
1742372679554,27
1742372681925,24
1742372684290,19
1742372686601,15
1742372688928,31
1742372692263,16
1742372695847,15
1742372704025,18
1742372706390,17
1742372708756,18
1742372712182,90
1742372714494,20
1742372716885,95
1742372719297,14
1742372721660,16
1742372724058,105
1742372727534,49
1742372729995,66
1742372733576,100
1742372735894,15
1742372738289,90
1742372740643,55
1742372742995,56
1742372745303,15
1742372747704,102
1742372750064,108
1742372752423,101
1742372754786,65
1742372757125,27
1742372759483,65
1742372761797,15
1742372764191,96
1742372766549,59
1742372768872,19
1742372771209,15
1742372774647,73
1742372776951,14
1742372779348,101
1742372782937,70
1742372790202,71
1742372798703,84
1742372808362,20
1742372810687,28
1742372813143,60
1742372815552,15
1742372817958,111
1742372821395,19
1742372823705,16
1742372826144,91
1742372829680,15
1742372831943,16
1742373274970,680
1742373326838,25
1742373332834,80
1742373336416,113
1742373339906,72
1742373343588,114
1742373347088,35
1742373350583,27
1742373354146,92
1742373357668,47
1742373361109,24
1742373364681,105
1742373368263,111
1742373371849,115
1742373375436,113
1742373379664,45
1742373383236,103
1742373386772,64
1742373390389,95
1742373393980,67
1742373397460,61
1742373400925,46
1742373404430,33
1742373408000,98
1742373411498,28
1742373414993,26
1742373418547,86
1742373422040,25
1742373425534,25
1742373429091,87
1742373432673,111
1742373436170,28
1742373771832,18
1742373915941,62
1742375976659,38
1742375982032,20
1742375989328,108
1742375993015,67
1742376011451,55
1742376015097,24
1742376035225,64
1742376040672,42
1742376044493,146
1742376051796,56
1742376057225,20
1742376063006,320
1742376070412,113
1742376081291,171
1742376093786,96
1742376099309,62
1742376121321,76
1742376128707,42
1742376139854,81
1742376147172,20
1742376152687,13
1742376156385,22
1742376160086,17
1742376163734,15
1742376171204,105
1742376174872,37
1742376180405,88
1742376185935,31
1742376191588,101
1742376195262,50
1742376199048,99
1742376202844,157
1742376210120,15
1742376213731,19
1742376217482,73
1742376224981,202
1742376228541,44
1742376232184,21
1742376235906,99
1742376239562,35
1742376243235,30
1742376246937,76
1742376250594,21
1742376254250,24
1742376257940,16
1742376261647,78
1742376267209,17
1742376270842,54
1742376274512,89
1742376278230,86
1742376281985,76
1742376285695,82
1742376289360,46
1742376293049,109
1742376298594,57
1742376302365,87
1742376305963,15
1742376309735,91
1742376320732,18
1742376324390,39
1742376328169,98
1742376333691,30
1742376339343,103
1742376343019,35
1742376346719,71
1742376350460,67
1742376357865,51
1742376429885,67
1742376439174,66
1742376444765,84
1742376448404,16
1742376452073,47
1742376461341,188
1742376468355,77
1742376479413,35
1742376483100,62
1742376494189,73
1742376497956,90
1742376501643,67
1742376505321,56
1742376510947,166
1742376514640,70
1742376518339,27
1742376522068,22
1742376525709,15
1742376536760,78
1742376540448,65
1742376544088,17
1742376551415,27
1742376558762,54
1742376564209,87
1742376569640,75
